# WARNING: DO NOT EDIT THIS FILE!
# File created: 11-11-2018 19:28:10
# Log file for Lichtsensor1
# Time,Value
19:28:20,2.3
19:28:30,2.7
19:28:40,3.0
19:28:50,2.7
19:29:00,2.7
19:29:10,3.0
19:29:20,2.3
19:29:30,2.0
19:29:40,2.7
19:29:50,2.3
19:30:00,2.2
19:30:10,3.0
19:30:20,3.0
19:30:30,3.0
19:30:40,3.0
19:30:50,3.0
19:31:00,3.0
19:31:10,3.0
19:31:20,3.0
19:31:30,3.0
19:31:40,3.0
19:31:50,3.0
19:32:00,3.0
19:32:10,3.0
19:32:20,3.0
19:32:30,3.0
19:32:40,3.0
19:32:50,3.0
19:33:00,3.0
19:33:10,3.0
19:33:20,3.0
19:33:30,3.0
19:33:40,3.0
19:33:50,2.4
19:34:00,2.0
19:34:10,2.1
19:34:20,1.6
19:34:30,1.0
19:34:40,1.1
19:34:50,2.0
19:35:00,2.0
19:35:10,1.5
19:35:20,2.0
19:35:30,2.0
19:35:40,1.9
19:35:50,2.0
<<break>>
19:37:10,1.3
19:37:20,1.0
19:37:30,1.0
19:37:40,1.7
19:37:50,1.8
19:38:00,1.7
<<break>>
<<break>>
19:39:41,3.1
19:39:51,3.0
19:40:01,3.0
19:40:11,3.0
19:40:21,3.0
19:40:31,2.3
19:40:41,2.0
19:40:51,2.0
19:41:01,2.0
19:41:11,2.0
19:41:22,2.0
19:41:32,2.8
19:41:42,2.1
19:41:52,2.3
19:42:02,2.8
19:42:12,2.0
19:42:22,2.0
19:42:32,2.0
19:42:42,2.0
19:42:52,2.0
19:43:02,2.3
19:43:12,2.3
19:43:22,3.8
19:43:32,4.0
19:43:42,4.0
19:43:52,4.0
19:44:02,4.0
19:44:12,4.0
19:44:22,4.0
19:44:32,4.0
19:44:42,4.0
19:44:52,4.0
19:45:02,4.0
19:45:12,4.0
19:45:22,4.0
19:45:32,4.0
19:45:42,4.0
19:45:52,3.7
19:46:02,4.0
19:46:12,4.0
19:46:22,2.6
19:46:32,2.0
19:46:42,2.0
19:46:52,2.0
19:47:02,2.0
19:47:12,2.0
19:47:22,2.0
19:48:49,2.1
19:48:59,5.3
19:49:09,2.5
19:49:19,2.4
19:49:29,3.0
19:49:39,3.0
19:49:49,2.7
19:49:59,3.0
19:50:09,3.0
19:50:19,3.0
19:50:29,3.0
19:50:39,3.0
19:50:49,3.0
<<break>>
19:51:31,3.0
19:51:41,3.0
19:51:51,3.0
19:52:01,3.0
19:52:11,3.0
19:52:21,3.0
19:52:31,3.0
19:52:41,2.8
19:52:51,3.0
19:53:01,3.0
19:53:11,2.8
19:53:21,1.5
19:53:31,2.0
19:53:41,3.0
19:53:51,4.0
19:54:01,4.0
19:54:11,4.0
19:54:21,4.0
19:54:31,4.0
19:54:41,4.0
19:54:51,4.0
19:55:01,4.0
19:55:11,4.0
19:55:21,4.0
19:55:31,4.0
19:55:41,3.8
19:55:51,3.9
19:56:01,3.9
19:56:11,3.9
19:56:21,4.0
19:56:31,4.0
19:56:41,3.8
19:56:51,3.8
19:57:01,2.6
19:57:11,2.0
<<break>>
19:57:40,2.7
19:57:50,2.5
19:58:00,1.9
19:58:11,1.4
19:58:21,2.8
19:58:31,3.0
<<break>>
<<break>>
19:59:18,2.1
19:59:28,2.6
19:59:38,2.6
19:59:48,2.3
19:59:58,2.0
20:00:08,3.0
20:00:18,2.7
20:00:28,1.8
20:00:38,2.0
20:00:48,2.0
20:00:58,2.0
20:01:08,2.0
20:01:18,1.9
20:01:28,1.9
20:14:23,2.0
<<break>>
20:14:54,2.0
20:15:04,2.0
20:15:14,2.0
20:15:24,2.0
20:15:34,1.1
20:15:44,1.9
20:15:54,2.0
20:16:04,2.0
20:16:14,2.0
20:16:24,2.0
20:16:34,2.0
20:16:44,2.0
20:16:54,2.0
20:17:04,2.0
20:17:14,2.0
20:17:24,2.0
20:17:34,2.0
20:17:44,1.2
<<break>>
