# WARNING: DO NOT EDIT THIS FILE!
# File created: 20-10-2018 20:12:58
# Log file for MyTemperatuursensor
# Time,Value
20:13:04,19
20:13:11,19
20:13:17,19
20:13:24,19
20:13:31,18
20:13:37,19
20:13:44,19
20:13:51,18
20:13:57,18
20:14:04,18
20:14:11,18
20:14:18,18
20:14:24,19
20:14:31,18
20:14:38,18
20:14:44,18
20:14:51,18
20:14:58,18
20:15:04,18
20:15:11,18
20:15:18,18
20:15:24,18
20:15:31,18
20:15:38,17
20:15:45,18
20:15:51,18
20:15:58,18
20:16:05,18
20:16:11,18
20:16:18,18
20:16:25,18
20:16:31,18
20:16:38,18
20:16:45,19
20:16:52,18
20:16:58,18
20:17:05,18
20:17:12,18
20:17:18,18
20:17:25,18
20:17:32,18
20:17:38,17
20:17:45,17
20:17:52,18
20:17:59,18
20:18:05,18
20:18:12,18
20:18:19,18
20:18:26,17
20:18:32,17
20:18:39,17
20:18:46,17
20:18:52,18
20:18:59,18
20:19:06,17
20:19:12,18
20:19:19,18
20:19:26,18
20:19:33,18
20:19:39,17
20:19:46,18
20:19:53,18
20:19:59,18
20:20:06,18
20:20:13,17
20:20:20,18
20:20:26,17
20:20:33,17
20:20:40,17
20:20:47,17
20:20:53,17
20:21:00,18
20:21:07,17
20:21:13,17
20:21:20,18
20:21:27,17
20:21:34,17
20:21:40,17
20:21:47,17
20:21:54,17
20:22:01,17
20:22:07,17
20:22:14,18
20:22:21,17
20:22:27,17
20:22:34,18
20:22:41,18
20:22:47,18
20:22:54,18
20:23:01,18
20:23:07,18
20:23:14,18
20:23:21,18
20:23:28,18
20:23:34,18
20:23:41,18
20:23:47,18
20:23:54,18
20:24:01,18
20:24:08,18
20:24:14,18
20:24:21,18
20:24:28,18
20:24:34,19
20:24:41,18
20:24:48,18
20:24:54,18
20:25:01,18
20:25:08,18
20:25:15,18
20:25:21,17
20:25:28,18
20:25:34,17
20:25:41,17
20:25:48,18
20:25:54,18
20:26:01,17
20:26:08,18
20:26:15,17
20:26:21,18
20:26:28,18
20:26:35,18
20:26:42,18
20:26:48,17
20:26:55,18
20:27:02,18
20:27:08,17
20:27:15,18
20:27:22,17
20:27:28,18
20:27:35,18
20:27:42,18
20:27:48,18
20:27:55,18
