# WARNING: DO NOT EDIT THIS FILE!
# File created: 21-10-2018 12:44:32
# Log file for Sensor1_Temperatuursensor
# Time,Value
12:44:34,17
12:44:39,17
12:44:44,16
12:44:49,21
12:44:54,22
12:44:59,23
12:45:04,21
12:45:09,20
12:45:14,19
12:45:19,19
12:45:24,18
12:45:29,18
12:45:34,18
12:45:39,18
12:45:44,17
12:45:49,18
12:45:54,18
12:45:59,18
12:46:04,17
12:46:09,17
12:46:14,17
12:46:19,17
12:46:24,17
12:46:29,17
12:46:34,17
12:46:39,17
12:46:44,17
12:46:49,17
12:46:54,17
12:46:59,17
12:47:04,17
12:47:09,17
12:47:14,17
12:47:19,17
12:47:24,17
12:47:29,17
12:47:34,17
12:47:39,17
12:47:44,16
12:47:49,17
12:47:54,17
12:47:59,17
12:48:04,16
12:48:09,17
12:48:14,17
12:48:19,17
12:48:24,17
12:48:29,17
12:48:34,17
12:48:39,17
12:48:44,17
12:48:49,17
12:48:54,16
12:48:59,17
12:49:04,17
12:49:09,16
12:49:14,16
12:49:19,17
12:49:24,16
12:49:29,17
12:49:34,16
12:49:39,17
12:49:44,16
12:49:49,16
12:49:54,16
12:49:59,17
12:50:04,16
12:50:09,16
12:50:14,17
12:50:19,17
12:50:24,16
12:50:29,17
12:50:34,16
12:50:39,17
12:50:44,16
