# WARNING: DO NOT EDIT THIS FILE!
# File created: 07-11-2018 14:30:23
# Log file for Temperatuursensor1
# Time,Value
14:30:33,107.1
14:30:43,121.5
14:30:53,121.5
14:31:03,119.6
14:31:13,119.3
14:31:23,121.8
14:31:33,121.1
14:31:43,118.7
14:31:53,121.6
14:32:03,119.7
14:33:17,108.3
14:33:27,121.3
14:33:37,121.1
14:33:47,120.9
14:33:57,120.7
14:34:07,119.2
14:34:17,118.0
14:34:27,118.3
14:34:37,120.2
14:34:47,120.4
14:34:57,120.1
14:35:07,119.7
14:35:17,118.3
14:35:27,120.3
14:35:37,119.6
14:36:01,107.6
14:36:11,120.0
14:36:21,117.9
14:36:31,119.2
14:37:08,118.7
14:37:18,120.5
14:37:28,118.6
14:38:06,120.9
14:38:16,118.7
14:38:26,120.5
14:38:36,119.8
14:38:46,118.2
14:38:56,119.8
14:39:19,96.2
14:39:29,120.3
14:39:39,119.1
14:39:49,120.7
14:39:59,119.4
14:42:28,97.0
14:43:20,109.6
14:43:30,114.8
14:43:40,116.3
14:43:50,117.5
14:44:00,119.3
14:44:10,117.6
14:44:20,120.2
14:44:30,118.3
14:44:40,119.9
14:44:50,120.2
14:53:55,96.7
